Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
130,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
131,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
132,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
133,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
134,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
135,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
136,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
137,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
138,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
139,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
140,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
141,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
142,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
143,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
144,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
145,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
146,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
147,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
148,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
149,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
150,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
151,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
152,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
153,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
154,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
155,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
156,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
157,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
158,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
159,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
160,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
161,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
162,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
163,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
164,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
165,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
166,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
167,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
168,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
169,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
170,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
171,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
172,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
173,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
