fips_code,county,state,customers_out,run_start_time,Weekend,Season,hour,month,season,outage_id,duration_intervals,duration_minutes,duration_category,customer_outage_minutes,cluster,15min_interval
25025,Suffolk,Massachusetts,1.0,2020-02-02 11:15:00,1,3,11,2,Winter,115,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-02 20:45:00,1,3,20,2,Winter,116,10,150,61-180min,150.0,0,"[150, 165)"
25025,Suffolk,Massachusetts,2.0,2020-02-03 06:00:00,0,3,6,2,Winter,117,8,120,61-180min,240.0,0,"[120, 135)"
25025,Suffolk,Massachusetts,1.0,2020-02-03 12:30:00,0,3,12,2,Winter,118,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-03 13:45:00,0,3,13,2,Winter,119,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-03 19:00:00,0,3,19,2,Winter,120,4,60,0-60min,60.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-02-03 20:30:00,0,3,20,2,Winter,121,17,255,181-360min,255.0,0,"[255, 270)"
25025,Suffolk,Massachusetts,42.0,2020-02-04 06:15:00,0,3,6,2,Winter,122,17,255,181-360min,10710.0,0,"[255, 270)"
25025,Suffolk,Massachusetts,1.0,2020-02-04 15:30:00,0,3,15,2,Winter,123,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-04 16:30:00,0,3,16,2,Winter,124,4,60,0-60min,60.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-02-04 19:00:00,0,3,19,2,Winter,125,13,195,181-360min,195.0,0,"[195, 210)"
25025,Suffolk,Massachusetts,3.0,2020-02-04 22:30:00,0,3,22,2,Winter,126,20,300,181-360min,900.0,0,"[300, 315)"
25025,Suffolk,Massachusetts,1.0,2020-02-05 15:00:00,0,3,15,2,Winter,127,2,30,0-60min,30.0,0,"[30, 45)"
25025,Suffolk,Massachusetts,1.0,2020-02-05 17:00:00,0,3,17,2,Winter,128,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,150.0,2020-02-05 18:00:00,0,3,18,2,Winter,129,3,45,0-60min,6750.0,0,"[45, 60)"
25025,Suffolk,Massachusetts,1.0,2020-02-05 19:00:00,0,3,19,2,Winter,130,1,15,0-60min,15.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,1.0,2020-02-05 19:45:00,0,3,19,2,Winter,131,9,135,61-180min,135.0,0,"[135, 150)"
25025,Suffolk,Massachusetts,144.0,2020-02-05 23:00:00,0,3,23,2,Winter,132,19,285,181-360min,41040.0,0,"[285, 300)"
25025,Suffolk,Massachusetts,1.0,2020-02-06 10:45:00,0,3,10,2,Winter,133,5,75,61-180min,75.0,0,"[75, 90)"
25025,Suffolk,Massachusetts,1.0,2020-02-06 12:15:00,0,3,12,2,Winter,134,38,570,361-1440min,570.0,1,"[570, 585)"
25025,Suffolk,Massachusetts,24.0,2020-02-07 06:45:00,0,3,6,2,Winter,135,17,255,181-360min,6120.0,0,"[255, 270)"
25025,Suffolk,Massachusetts,1.0,2020-02-07 14:00:00,0,3,14,2,Winter,136,144,2160,>1440min,2160.0,3,"[2160, 2175)"
25025,Suffolk,Massachusetts,3.0,2020-02-09 03:30:00,1,3,3,2,Winter,137,1,15,0-60min,45.0,0,"[15, 30)"
25025,Suffolk,Massachusetts,4.0,2020-02-09 05:30:00,1,3,5,2,Winter,138,21,315,181-360min,1260.0,0,"[315, 330)"
25025,Suffolk,Massachusetts,1.0,2020-02-09 12:00:00,1,3,12,2,Winter,139,4,60,0-60min,60.0,0,"[60, 75)"
25025,Suffolk,Massachusetts,1.0,2020-02-09 14:15:00,1,3,14,2,Winter,140,1,15,0-60min,15.0,0,"[15, 30)"
