Time_Index,solar_pv,rolling_avg,max_480_rolling
2880,0.0,0.06358891822916667,0.0
2881,0.0,0.06358891822916667,0.0
2882,0.0,0.06358891822916667,0.0
2883,0.0,0.06358891822916667,0.0
2884,0.0,0.06358891822916667,0.0
2885,0.0,0.06358891822916667,0.0
2886,0.00029975,0.06358891822916667,0.00029975
2887,0.01135325,0.06358975208333334,0.01135325
2888,0.04327725,0.06360640833333334,0.04327725
2889,0.08619425,0.06365741562499999,0.08619425
2890,0.13730575,0.06376768541666666,0.13730575
2891,0.17833175,0.063947546875,0.17833175
2892,0.20154975,0.06414478333333333,0.20154975
2893,0.20507475,0.0643258171875,0.20507475
2894,0.18857,0.06448139947916667,0.18857
2895,0.18081475,0.0646360875,0.18081475
2896,0.14355425,0.064767125,0.14355425
2897,0.10136125,0.064882590625,0.10136125
2898,0.06144375,0.06496154166666666,0.06144375
2899,0.0230005,0.06500428229166667,0.0230005
2900,0.0027995,0.06502157239583334,0.0027995
2901,0.0,0.06503000885416667,0.0
2902,0.0,0.06503000885416667,0.0
2903,0.0,0.06503000885416667,0.0
2904,0.0,0.06503000885416667,0.0
2905,0.0,0.06503000885416667,0.0
2906,0.0,0.06503000885416667,0.0
2907,0.0,0.06503000885416667,0.0
2908,0.0,0.06503000885416667,0.0
2909,0.0,0.06503000885416667,0.0
2910,9.975e-05,0.06503000885416667,9.975e-05
2911,0.0111985,0.06503094635416666,0.0111985
2912,0.04326,0.06504280885416666,0.04326
2913,0.08590125,0.06505909270833334,0.08590125
2914,0.13665825,0.06508790572916666,0.13665825
2915,0.17669975,0.0650978265625,0.17669975
2916,0.20457575,0.0650594765625,0.20457575
2917,0.2083115,0.06501001354166666,0.2083115
2918,0.1978975,0.0649486546875,0.1978975
2919,0.17639,0.0648600578125,0.17639
2920,0.1428775,0.0647566734375,0.1428775
2921,0.10211925,0.06466032760416666,0.10211925
2922,0.05792825,0.06457070208333333,0.05792825
2923,0.0232415,0.0645096984375,0.0232415
2924,0.00279875,0.06449042760416666,0.00279875
2925,0.0,0.0644909484375,0.0
2926,0.0,0.0644909484375,0.0
2927,0.0,0.0644909484375,0.0
2928,0.0,0.0644909484375,0.0
2929,0.0,0.0644909484375,0.0
