Time_Index,solar_pv,rolling_avg,min_480_rolling
69823,0.0,0.010500882291666668,0.0
69824,0.002147,0.010500882291666668,0.002147
69825,0.0199115,0.010501616666666665,0.0199115
69826,0.04841725,0.010518986979166667,0.04841725
69827,0.0612715,0.010546856770833333,0.0612715
69828,0.06366925,0.010596419791666667,0.06366925
69829,0.05560125,0.010638343750000001,0.05560125
69830,0.0391025,0.010688730208333334,0.0391025
69831,0.0208515,0.0107295453125,0.0208515
69832,0.005447,0.010755221875,0.005447
69833,0.00019975,0.010767208333333333,0.00019975
69834,0.0,0.010767208333333333,0.0
69835,0.0,0.010767208333333333,0.0
69836,0.0,0.010767208333333333,0.0
69837,0.0,0.010767208333333333,0.0
69838,0.0,0.010767208333333333,0.0
69839,0.0,0.010767208333333333,0.0
69840,0.0,0.010767208333333333,0.0
